"","playerID","age_season","total_games","prev_year_games"
"1","abramcj01",21,90,NA
"2","abramcj01",22,151,90
"3","abreujo02",28,154,NA
"4","abreujo02",29,159,154
"5","abreujo02",30,156,159
"6","abreujo02",31,128,156
"7","abreujo02",32,159,128
"8","abreujo02",34,152,159
"9","abreujo02",35,157,152
"10","abreujo02",36,141,157
"11","abreuwi02",24,28,NA
"12","ackledu01",27,108,NA
"13","ackledu01",28,28,108
"14","acunaro01",20,111,NA
"15","acunaro01",21,156,111
"16","acunaro01",23,82,156
"17","acunaro01",24,119,82
"18","acunaro01",25,159,119
"19","adamecr01",23,26,NA
"20","adamecr01",24,121,26
"21","adamecr01",25,12,121
"22","adamecr01",27,10,12
"23","adamewi01",22,85,NA
"24","adamewi01",23,152,85
"25","adamewi01",25,140,152
"26","adamewi01",26,139,140
"27","adamewi01",27,149,139
"28","adamsjo03",23,17,NA
"29","adamsla01",27,85,NA
"30","adamsla01",28,26,85
"31","adamsma01",26,60,NA
"32","adamsma01",27,118,60
"33","adamsma01",28,131,118
"34","adamsma01",29,121,131
"35","adamsma01",30,111,121
"36","adamsma01",32,22,111
"37","adamsri03",25,47,NA
"38","adamsri03",26,48,47
"39","adamsri03",27,44,48
"40","adducji02",32,29,NA
"41","adducji02",33,59,29
"42","adducji02",34,2,59
"43","adelljo01",22,35,NA
"44","adelljo01",23,88,35
"45","adelljo01",24,17,88
"46","adriaeh01",25,52,NA
"47","adriaeh01",26,40,52
"48","adriaeh01",27,70,40
"49","adriaeh01",28,114,70
"50","adriaeh01",29,82,114
"51","adriaeh01",31,109,82
"52","adriaeh01",32,36,109
"53","adriaeh01",33,5,36
"54","aguilje01",25,7,NA
"55","aguilje01",26,9,7
"56","aguilje01",27,133,9
"57","aguilje01",28,149,133
"58","aguilje01",29,131,149
"59","aguilje01",31,131,131
"60","aguilje01",32,129,131
"61","aguilje01",33,36,129
"62","aguilry01",27,7,NA
"63","ahmedni01",25,134,NA
"64","ahmedni01",26,90,134
"65","ahmedni01",27,53,90
"66","ahmedni01",28,153,53
"67","ahmedni01",29,158,153
"68","ahmedni01",31,129,158
"69","ahmedni01",32,17,129
"70","ahmedni01",33,72,17
"71","akiyash01",33,88,NA
"72","alberha01",22,41,NA
"73","alberha01",23,35,41
"74","alberha01",25,13,35
"75","alberha01",26,138,13
"76","alberha01",28,102,138
"77","alberha01",29,63,102
"78","alberha01",30,28,63
"79","albieoz01",20,57,NA
"80","albieoz01",21,158,57
"81","albieoz01",22,160,158
"82","albieoz01",24,156,160
"83","albieoz01",25,64,156
"84","albieoz01",26,148,64
"85","alcanar01",23,11,NA
"86","alcanar01",24,16,11
"87","alcanar01",25,70,16
"88","alcanse01",24,88,NA
"89","alcanse01",25,93,88
"90","alfarjo01",23,6,NA
"91","alfarjo01",24,29,6
"92","alfarjo01",25,108,29
"93","alfarjo01",26,130,108
"94","alfarjo01",28,92,130
"95","alfarjo01",29,82,92
"96","alfarjo01",30,18,82
"97","alforan01",22,4,NA
"98","alforan01",23,13,4
"99","alforan01",24,16,13
"100","alforan01",26,49,16
"101","alforan01",27,2,49
"102","allenau01",25,34,NA
"103","allenau01",27,4,34
"104","allenau01",28,5,4
"105","allengr01",24,25,NA
"106","allengr01",25,91,25
"107","allengr01",26,89,91
"108","allengr01",28,15,89
"109","allengr01",29,46,15
"110","allengr01",30,22,46
"111","allenni02",23,100,NA
"112","allenni02",24,106,100
"113","almonab01",26,82,NA
"114","almonab01",27,67,82
"115","almonab01",28,69,67
"116","almonab01",29,50,69
"117","almonab01",30,17,50
"118","almonab01",32,64,17
"119","almonab01",33,15,64
"120","almonab01",34,8,15
"121","almoral01",22,47,NA
"122","almoral01",23,132,47
"123","almoral01",24,152,132
"124","almoral01",25,130,152
"125","almoral01",27,46,130
"126","almoral01",28,64,46
"127","alonspe01",24,161,NA
"128","alonspe01",26,152,161
"129","alonspe01",27,160,152
"130","alonspe01",28,154,160
"131","alonsyo01",28,103,NA
"132","alonsyo01",29,156,103
"133","alonsyo01",30,142,156
"134","alonsyo01",31,145,142
"135","alonsyo01",32,121,145
"136","altheaa01",24,39,NA
"137","altheaa01",25,57,39
"138","altheaa01",26,107,57
"139","altheaa01",27,105,107
"140","altheaa01",28,48,105
"141","altuvjo01",25,154,NA
"142","altuvjo01",26,161,154
"143","altuvjo01",27,153,161
"144","altuvjo01",28,137,153
"145","altuvjo01",29,124,137
"146","altuvjo01",31,146,124
"147","altuvjo01",32,141,146
"148","altuvjo01",33,90,141
"149","aluja01",26,51,NA
"150","alvarda02",26,12,NA
"151","alvarda02",27,2,12
"152","alvared01",31,24,NA
"153","alvared01",32,14,24
"154","alvarfr01",20,5,NA
"155","alvarfr01",21,123,5
"156","alvarpe01",28,150,NA
"157","alvarpe01",29,109,150
"158","alvarpe01",30,14,109
"159","alvarpe01",31,45,14
"160","alvaryo01",22,87,NA
"161","alvaryo01",24,144,87
"162","alvaryo01",25,135,144
"163","alvaryo01",26,114,135
"164","amarial01",26,117,NA
"165","amarial01",27,64,117
"166","amarial01",28,96,64
"167","amayaja01",24,4,NA
"168","amayami01",24,53,NA
"169","amburtr01",26,2,NA
"170","anderbr05",28,4,NA
"171","anderbr06",24,25,NA
"172","anderbr06",25,156,25
"173","anderbr06",26,126,156
"174","anderbr06",28,67,126
"175","anderbr06",29,98,67
"176","anderbr06",30,96,98
"177","anderti01",23,99,NA
"178","anderti01",24,146,99
"179","anderti01",25,153,146
"180","anderti01",26,123,153
"181","anderti01",28,123,123
"182","anderti01",29,79,123
"183","anderti01",30,123,79
"184","andinro01",32,13,NA
"185","andrejo03",28,26,NA
"186","andrejo03",31,7,26
"187","andruel01",26,160,NA
"188","andruel01",27,147,160
"189","andruel01",28,158,147
"190","andruel01",29,97,158
"191","andruel01",30,147,97
"192","andruel01",32,146,147
"193","andruel01",33,149,146
"194","andruel01",34,112,149
"195","andujmi01",22,5,NA
"196","andujmi01",23,149,5
"197","andujmi01",24,12,149
"198","andujmi01",26,45,12
"199","andujmi01",27,36,45
"200","andujmi01",28,30,36
"201","annade01",28,1,NA
"202","aokino01",33,93,NA
"203","aokino01",34,118,93
"204","aokino01",35,108,118
"205","aquinar01",24,1,NA
"206","aquinar01",25,56,1
"207","aquinar01",27,84,56
"208","aquinar01",28,80,84
"209","arandjo01",24,32,NA
"210","arandjo01",25,34,32
"211","arauzjo01",22,27,NA
"212","arauzjo01",23,15,27
"213","arauzjo01",24,27,15
"214","arciafr01",28,38,NA
"215","arciaor01",21,55,NA
"216","arciaor01",22,153,55
"217","arciaor01",23,119,153
"218","arciaor01",24,152,119
"219","arciaor01",26,36,152
"220","arciaor01",27,66,36
"221","arciaor01",28,139,66
"222","arciaos01",24,19,NA
"223","arciaos01",25,69,19
"224","arenano01",24,157,NA
"225","arenano01",25,160,157
"226","arenano01",26,159,160
"227","arenano01",27,156,159
"228","arenano01",28,155,156
"229","arenano01",30,157,155
"230","arenano01",31,148,157
"231","arenano01",32,144,148
"232","arencjp01",29,24,NA
"233","ariasga01",22,16,NA
"234","ariasga01",23,122,16
"235","ariasjo01",30,40,NA
"236","arozara01",24,19,NA
"237","arozara01",26,141,19
"238","arozara01",27,153,141
"239","arozara01",28,151,153
"240","arraelu01",22,92,NA
"241","arraelu01",24,121,92
"242","arraelu01",25,144,121
"243","arraelu01",26,147,144
"244","arroych01",22,34,NA
"245","arroych01",23,20,34
"246","arroych01",24,16,20
"247","arroych01",26,56,16
"248","arroych01",27,87,56
"249","arroych01",28,66,87
"250","arteahu01",25,40,NA
"251","arteahu01",27,1,40
"252","ascheco01",25,129,NA
"253","ascheco01",26,71,129
"254","ascheco01",27,19,71
"255","ashlene01",30,12,NA
"256","astudwi01",26,28,NA
"257","astudwi01",27,58,28
"258","astudwi01",29,68,58
"259","astudwi01",30,19,68
"260","asuajca01",24,7,NA
"261","asuajca01",25,89,7
"262","asuajca01",26,79,89
"263","austity01",24,31,NA
"264","austity01",25,20,31
"265","austity01",26,69,20
"266","austity01",27,89,69
